Wavelength,A,B,C,D,X,Y,Z,Red-1,Red,Green,Blue,CIE-A,CIE-B,CIE-C,D50,D55,D65,D93,CIE-E
720,63.3,-10.6,7,0.000944727,0.002899327,0.001047,0,0.1418521904,0.0065177,-0.000057677,6.1057E-06,210.365,92.9,68.3,76.8,70.24,61.604,51.32,100
725,67.5,-11.1,7.3,0.000653705,0.00204919,0.00074,0,0.1002584707,0.0045377,-0.000039003,5.0277E-06,213.268,91.1,66.3,81.7,74.77,65.7448,54.97,100
730,71.7,-11.6,7.6,0.000455597,0.001439971,0.00052,0,0.0704518839,0.0031742,-0.000026511,4.1251E-06,216.12,89.4,64.4,86.6,79.3,69.8856,58.62,100
735,74.35,-11.9,7.8,0.000317974,0.0009999493,0.0003611,0,0.0489234225,0,0,0,218.92,88,62.8,89.6,82.15,72.4863,60.93,100
740,77,-12.2,8,0.000221745,0.0006900786,0.0002492,0,0.0337627183,0,0,0,221.667,86.9,61.5,92.6,84.99,75.087,63.24,100
745,71.1,-11.2,7.35,0.000156557,0.0004760213,0.0001719,0,0.0232897718,0,0,0,224.361,85.9,60.2,85.4,78.44,69.3398,58.46,100
750,65.2,-10.2,6.7,0.000110393,0.0003323011,0.00012,0,0.0162581312,0,0,0,227,85.2,59.2,78.2,71.88,63.5927,53.69,100
755,56.45,-9,5.95,7.82744E-05,0.0002348261,0.0000848,0,0.0114890789,0,0,0,229.585,84.8,58.5,68,62.34,55.0054,46.27,100
760,47.7,-7.8,5.2,5.57886E-05,0.0001661505,0.00006,0,0.0081290635,0,0,0,232.115,84.7,58.1,57.7,52.79,46.4182,38.86,100
765,58.15,-9.5,6.3,3.98188E-05,0.000117413,0.0000424,0,0.0057445374,0,0,0,234.589,84.9,58,70.3,64.36,56.6118,47.4,100
770,68.6,-11.2,7.4,2.86018E-05,8.307527E-05,0.00003,0,0.0040645326,0,0,0,237.008,85.4,58.2,82.9,75.93,66.8054,55.94,100
775,66.8,-10.8,7.1,2.05126E-05,5.870652E-05,0.0000212,0,0.0028722695,0,0,0,239.37,0,58.5,80.6,73.87,65.0941,54.61,100
780,65,-10.4,6.8,1.48724E-05,4.150994E-05,0.00001499,0,0.0020309113,0,0,0,241.675,0,59.1,78.3,71.82,63.3828,53.28,100
785,65.5,-10.5,6.9,0.0000108,2.935326E-05,0.0000106,0,0.0014361348,0,0,0,243.924,0,0,0,0,63.8434,0,100
790,66,-10.6,7,7.86392E-06,2.067383E-05,7.4657E-06,0,0.0010114858,0,0,0,246.116,0,0,0,0,64.304,0,100
795,63.5,-10.15,6.7,5.73694E-06,1.455977E-05,5.2578E-06,0,0.0007123499,0,0,0,248.251,0,0,0,0,61.8779,0,100
800,61,-9.7,6.4,4.2116E-06,0.000010254,3.7029E-06,0,0.0005016861,0,0,0,250.329,0,0,0,0,59.4519,0,100
805,57.15,-9,5.95,3.10656E-06,7.221456E-06,2.6078E-06,0,0.0003533163,0,0,0,252.35,0,0,0,0,55.7054,0,100
810,53.3,-8.3,5.5,2.28679E-06,5.085868E-06,1.8366E-06,0,0.0002488307,0,0,0,254.314,0,0,0,0,51.959,0,100
815,56.1,-8.8,5.8,1.69315E-06,3.581652E-06,1.2934E-06,0,0.0001752356,0,0,0,0,0,0,0,0,54.6998,0,100
820,58.9,-9.3,6.1,1.26256E-06,2.522525E-06,9.1093E-07,0,0.0001234168,0,0,0,0,0,0,0,0,57.4406,0,100
825,60.4,-9.55,6.3,9.42251E-07,1.776509E-06,6.4153E-07,0,8.6917308724E-05,0,0,0,0,0,0,0,0,58.8765,0,100
830,61.9,-9.8,6.5,7.05386E-07,1.251141E-06,4.5181E-07,0,6.1213204956E-05,0,0,0,0,0,0,0,0,60.3125,0,100
